bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
Logan van Beek,9.0,1,30,1,3.33,39,3,0,4,0,Netherlands,28th-Match,1384419
Colin Ackermann,7.0,1,25,1,3.57,29,2,1,0,0,Netherlands,28th-Match,1384419
Paul van Meekeren,7.2,0,23,4,3.13,30,2,0,2,0,Netherlands,28th-Match,1384419
Bas de Leede,7.0,0,25,2,3.57,30,4,0,0,0,Netherlands,28th-Match,1384419
Shariz Ahmad,2.0,0,13,0,6.5,5,2,0,0,0,Netherlands,28th-Match,1384419
bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
Matt Henry,6.2,0,67,1,10.57,21,8,4,2,2,New Zealand,27th-Match,1384418
Trent Boult,10.0,0,77,3,7.7,25,7,3,3,0,New Zealand,27th-Match,1384418
Lockie Ferguson,3.0,0,38,0,12.66,6,3,3,0,0,New Zealand,27th-Match,1384418
Mitchell Santner,10.0,0,80,2,8.0,23,6,4,1,0,New Zealand,27th-Match,1384418
Glenn Phillips,10.0,0,37,3,3.7,30,2,0,0,0,New Zealand,27th-Match,1384418
Rachin Ravindra,8.0,0,56,0,7.0,18,5,2,0,0,New Zealand,27th-Match,1384418
